Visual Studio Derleme Araçları 2022|17.14.30
Brave|147.1.89.143
Internet Download Manager|6.42.63
Jellyfin Server 10.11.8|10.11.8
K-Lite Codec Pack 19.6.6 Standard|19.6.6
Copilot|147.0.3912.84
Microsoft Edge WebView2 Çalışma Zamanı|147.0.3912.72
PlumeImpactor|
qBittorrent|5.1.4
Steam|2.10.91.91
Universal CRT Extension SDK|10.1.26100.7705
Microsoft .NET Host FX Resolver - 9.0.15 (x86)|72.60.50518
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664|12.0.40664.0
Universal CRT Redistributable|10.0.26624
MSI Development Tools|10.1.26100.7705
WinRT Intellisense UAP - Other Languages|10.1.26100.7705
Microsoft .NET Host FX Resolver - 10.0.7 (x86)|80.28.51996
Windows SDK Desktop Headers arm64|10.1.26100.7705
Microsoft ASP.NET Core 9.0.15 - Shared Framework (x64)|9.0.15.26176
Microsoft Visual C++ v14 Redistributable (x86) - 14.50.35719|14.50.35719.0
Windows SDK DirectX x86 Remote|10.1.26100.7705
Windows SDK Desktop Libs x64|10.1.26100.7705
Windows SDK AddOn|10.1.0.0
Microsoft .NET Host - 8.0.26 (x86)|64.104.50421
vs_CoreEditorFonts|17.7.40001
Microsoft Windows Desktop Runtime 10.0.7 (x64)|10.0.7.50000
Windows Team Extension SDK|10.1.26100.7705
vs_filehandler_amd64|17.14.36024
Windows SDK Modern Non-Versioned Developer Tools|10.1.26100.7705
vs_githubprotocolhandlermsi|17.14.36015
Microsoft .NET Runtime - 10.0.7 (x86)|80.28.51996
Windows SDK Desktop Libs arm64|10.1.26100.7705
Windows SDK for Windows Store Apps Libs|10.1.26100.7705
WinRT Intellisense IoT - Other Languages|10.1.26100.7705
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030|11.0.61030.0
Universal CRT Redistributable|10.1.26100.7705
Microsoft ASP.NET Core Runtime - 10.0.7 (x86)|80.28.51996
Microsoft Windows Desktop Runtime - 8.0.26 (x86)|64.104.50433
Microsoft .NET Runtime - 8.0.26 (x86)|64.104.50421
WinRT Intellisense Mobile - en-us|10.1.26100.7705
Kits Configuration Installer|10.1.26100.7705
Microsoft Visual Studio Setup WMI Provider|3.12.2140.44225
Windows SDK for Windows Store Apps Tools|10.1.26100.7705
Windows SDK for Windows Store Managed Apps Libs|10.1.26100.7705
vcpp_crt.redist.clickonce|14.44.35211
Windows SDK EULA|10.1.26100.7705
vs_minshellinteropsharedmsi|17.14.36015
WinRT Intellisense Desktop - en-us|10.1.26100.7705
Windows SDK ARM64 Desktop Tools|10.1.26100.7705
Microsoft Windows Desktop Runtime 10.0.7 (x86)|10.0.7.50000
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719|14.50.35719
WinRT Intellisense UAP - en-us|10.1.26100.7705
Microsoft .NET Runtime - 9.0.15 (x86)|72.60.50518
Microsoft .NET Host FX Resolver - 8.0.26 (x86)|64.104.50421
Microsoft ASP.NET Core 9.0.15 Shared Framework (x86)|9.0.15.26176
vs_minshellmsi|17.14.36301
Microsoft ASP.NET Core Runtime - 10.0.7 (x86)|10.0.7.36017
Microsoft .NET Host - 9.0.15 (x86)|72.60.50518
vs_filehandler_x86|17.14.36024
Microsoft Windows Desktop Runtime - 10.0.7 (x86)|80.28.51996
Microsoft Visual C++ 2005 Redistributable|8.0.61001
vs_communitysharedmsi|17.14.36025
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719|14.50.35719
Windows SDK Desktop Tools arm64|10.1.26100.7705
Microsoft ASP.NET Core Runtime - 10.0.7 (x64)|10.0.7.36017
Universal CRT Headers Libraries and Sources|10.1.26100.7705
Universal General MIDI DLS Extension SDK|10.1.26100.7705
Windows SDK OnecoreUap Headers x64|10.1.26100.7705
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664|12.0.40664
Windows SDK OnecoreUap Headers arm64|10.1.26100.7705
UniGetUI|2026.1.6
Microsoft Windows Desktop Runtime - 9.0.15 (x86)|9.0.15.35926
Microsoft ASP.NET Core 9.0.15 - Shared Framework (x86)|9.0.15.26176
WinRT Intellisense PPI - en-us|10.1.26100.7705
Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719|14.50.35719.0
Windows SDK Redistributables|10.1.26100.7705
Windows Team Extension SDK Contracts|10.1.26100.7705
WinRT Intellisense PPI - Other Languages|10.1.26100.7705
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161|9.0.30729.6161
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664|12.0.40664.0
Windows SDK Desktop Libs x86|10.1.26100.7705
Windows Mobile Extension SDK Contracts|10.1.26100.7705
Windows IoT Extension SDK|10.1.26100.7705
Windows SDK|10.1.26100.7705
vs_minshellinteropmsi|17.14.36015
Microsoft ASP.NET Core 8.0.26 Shared Framework (x86)|8.0.26.26169
Windows IoT Extension SDK Contracts|10.1.26100.7705
SDK ARM64 Redistributables|10.1.26100.7705
vs_vswebprotocolselectormsires|17.14.36323
Windows SDK for Windows Store Apps Metadata|10.1.26100.7705
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030|11.0.61030
vs_vswebprotocolselectormsi|17.14.36323
Windows SDK for Windows Store Apps Headers|10.1.26100.7705
Windows App Certification Kit x64|10.1.26100.7705
Windows App Certification Kit x64 (OnecoreUAP)|10.1.26100.7705
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211|14.44.35211
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030|11.0.61030
Microsoft Windows Desktop Runtime - 9.0.15 (x86)|72.60.50530
Windows Software Development Kit - Windows 10.0.26100.7705|10.1.26100.7705
vs_communitymsires|17.14.36015
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030|11.0.61030.0
Windows SDK for Windows Store Apps Headers OnecoreUap|10.1.26100.7705
Microsoft Windows Desktop Runtime - 8.0.26 (x64)|8.0.26.35920
Windows SDK Desktop Headers x64|10.1.26100.7705
Windows SDK for Windows Store Apps|10.1.26100.7705
Microsoft ASP.NET Core 8.0.26 - Shared Framework (x86)|8.0.26.26169
Python Launcher|3.14.4150.0
WinAppDeploy|10.1.26100.7705
Microsoft Visual Studio Setup Configuration|3.12.2140.44225
Windows SDK Desktop Headers x86|10.1.26100.7705
vs_FileTracker_Singleton|17.14.36015
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664|12.0.40664
vs_minshellmsires|17.14.36015
Windows SDK Desktop Tools x86|10.1.26100.7705
Microsoft Windows Desktop Runtime - 9.0.15 (x64)|9.0.15.35926
Windows App Certification Kit SupportedApiList x86|10.1.26100.7705
Windows SDK for Windows Store Apps Contracts|10.1.26100.7705
Windows Mobile Extension SDK|10.1.26100.7705
SDK ARM64 Additions|10.1.26100.7705
WinRT Intellisense Desktop - Other Languages|10.1.26100.7705
Windows SDK Desktop Tools x64|10.1.26100.7705
WinRT Intellisense IoT - en-us|10.1.26100.7705
Microsoft .NET Host - 10.0.7 (x86)|80.28.51996
Windows SDK OnecoreUap Headers x86|10.1.26100.7705
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219|10.0.40219
Realtek Audio Driver|6.0.9888.1
Windows SDK Modern Versioned Developer Tools|10.1.26100.7705
Microsoft Windows Desktop Runtime - 8.0.26 (x86)|8.0.26.35920
Windows Desktop Extension SDK Contracts|10.1.26100.7705
Microsoft ASP.NET Core 8.0.26 - Shared Framework (x64)|8.0.26.26169
vs_minshellsharedmsi|17.14.36024
Windows SDK for Windows Store Apps DirectX x86 Remote|10.1.26100.7705
Windows SDK Signing Tools|10.1.26100.7705
Windows SDK Facade Windows WinMD Versioned|10.1.26100.7705
Universal CRT Tools x86|10.1.26100.7705
Windows Desktop Extension SDK|10.1.26100.7705
Hattrick Organizer 10.0.856.0|10.0.856.0
ShareX|19.0.2
Git|2.53.0.2
HashCheck Shell Extension|2.5.0.1
HWiNFO® 64|8.46
Notepad++ (64-bit x64)|8.9.3
Microsoft 365 - tr-tr|16.0.19929.20090
Sandboxie-Plus v1.17.4|1.17.4
StartAllBack|3.9.22
Wallpaper Engine|
TeamViewer|15.76.5
WinRAR 7.20 (64 bit)|7.20.0
WizTree v4.31|4.31
Zen Browser (x64 en-US)|1.19.8b
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664|12.0.40664
Intel(R) ME WMI Provider|1.0.0.0
Microsoft .NET Host FX Resolver - 9.0.15 (x64)|72.60.50518
Python 3.14.4 Tcl/Tk Support (64-bit)|3.14.4150.0
Node.js|24.14.1
Intel(R) Management Engine Components|2553.8.58.0
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219|10.0.40219
Windows App Certification Kit Native Components|10.1.26100.7705
Python 3.14.4 Executables (64-bit)|3.14.4150.0
Dynamic Application Loader Host Interface Service|1.0.0.0
Microsoft .NET Host - 8.0.26 (x64)|64.104.50421
